id,method,value
41,qp_cv,1311357.5948515993
42,qp_cv,1305065.2792751892
43,qp_cv,1354281.7593894547
44,qp_cv,1309400.9721433101
45,qp_cv,1309692.75060596
46,qp_cv,1315395.043290206
47,qp_cv,1353371.9692494222
48,qp_cv,1352784.9220821233
49,qp_cv,1315112.2530303982
50,qp_cv,1309690.0897886099
51,qp_cv,1316681.2521336402
52,qp_cv,1317255.5513197496
53,qp_cv,1330656.5426204873
54,qp_cv,1310828.413328566
55,qp_cv,1316769.646432474
56,qp_cv,1330473.2350110381
57,qp_cv,1328535.8617293655
58,qp_cv,1299577.8376134255
59,qp_cv,1309157.5385024075
60,qp_cv,1333866.8946020298
61,qp_cv,1312099.4751071976
62,qp_cv,1309740.788337408
63,qp_cv,1308853.778512667
64,qp_cv,1327599.816762323
65,qp_cv,1330471.981385734
66,qp_cv,1285907.5060783827
67,qp_cv,1311431.0571329198
68,qp_cv,1315801.3501864776
69,qp_cv,1374458.0697678013
70,qp_cv,1310512.1520471643
71,qp_cv,1321052.6768583597
72,qp_cv,1314172.9216275008
73,qp_cv,1312489.981584215
74,qp_cv,1299349.6555937652
75,qp_cv,1330526.0956349226
76,qp_cv,1302599.4157669458
77,qp_cv,1330122.2699262123
78,qp_cv,1309171.973296606
79,qp_cv,1352412.0015190903
80,qp_cv,1312271.1902241323
81,qp_cv,1310172.9653296073
82,qp_cv,1316489.4267499382
83,qp_cv,1348788.9925490574
84,qp_cv,1327599.4631920836
85,qp_cv,1304026.1862852077
86,qp_cv,1323207.3194238043
87,qp_cv,1298282.6354978965
88,qp_cv,1326391.965471368
89,qp_cv,1309594.429097247
90,qp_cv,1300706.9581379176
91,qp_cv,1307451.023710597
92,qp_cv,1370859.5693851649
93,qp_cv,1321205.9411402154
94,qp_cv,1355115.582994944
95,qp_cv,1308036.6275544844
96,qp_cv,1319577.6305987996
97,qp_cv,1315464.5426880654
98,qp_cv,1310918.568758188
99,qp_cv,1318619.1588206284
100,qp_cv,1315615.550260426
1,qp_nc,1312335.0888774404
2,qp_nc,1311929.3545806198
3,qp_nc,1316582.0465580865
4,qp_nc,1310576.4742805725
5,qp_nc,1309548.0887725651
6,qp_nc,1307511.2745282026
7,qp_nc,1310496.6808377965
8,qp_nc,1311252.468351771
9,qp_nc,1351358.9744820301
10,qp_nc,1350254.3407361524
11,qp_nc,1310269.9677084757
12,qp_nc,1356567.6706061463
13,qp_nc,1373089.1169180633
14,qp_nc,1314694.5750783954
15,qp_nc,1323632.5649891472
16,qp_nc,1309415.2190995477
17,qp_nc,1311449.2898808764
18,qp_nc,1327572.886487046
19,qp_nc,1320872.7949357196
20,qp_nc,1310041.8271043494
21,qp_nc,1324448.6134208469
22,qp_nc,1355263.0545770652
23,qp_nc,1323353.7241979672
24,qp_nc,1307525.915523672
25,qp_nc,1301275.9072442376
26,qp_nc,1309765.465250162
27,qp_nc,1301711.8900974626
28,qp_nc,1311998.943435842
29,qp_nc,1313618.973386038
30,qp_nc,1318629.6541031406
31,qp_nc,1323528.0446907831
32,qp_nc,1309231.2007517295
33,qp_nc,1351991.4884197356
34,qp_nc,1317318.012974136
35,qp_nc,1319245.2603054554
36,qp_nc,1313083.9103639955
37,qp_nc,1311620.380693535
38,qp_nc,1311563.9805488486
39,qp_nc,1288363.405122236
40,qp_nc,1313280.598205559
41,qp_nc,1309258.6234273342
42,qp_nc,1311002.631237824
43,qp_nc,1330443.4154967957
44,qp_nc,1355838.8002106613
45,qp_nc,1310301.0022509107
46,qp_nc,1324364.225299293
47,qp_nc,1310566.005638348
48,qp_nc,1324580.8140479391
49,qp_nc,1307773.8734920833
50,qp_nc,1323374.462835403
51,qp_nc,1297916.0988723098
52,qp_nc,1317416.9547590297
53,qp_nc,1306906.8405969527
54,qp_nc,1330641.8861149824
55,qp_nc,1352724.2441997111
56,qp_nc,1320462.2046251048
57,qp_nc,1314642.136867792
58,qp_nc,1316687.5915590515
59,qp_nc,1310129.8862607584
60,qp_nc,1322987.1174654895
61,qp_nc,1309104.897948113
62,qp_nc,1310803.7736061884
63,qp_nc,1374479.4953475422
64,qp_nc,1329907.7712596632
65,qp_nc,1313490.473149146
66,qp_nc,1354236.9363093325
67,qp_nc,1297775.1599223472
68,qp_nc,1320945.6172474339
69,qp_nc,1310975.2430401235
70,qp_nc,1307637.6446213552
71,qp_nc,1307484.4695877123
72,qp_nc,1323598.7182691155
73,qp_nc,1370679.5641875402
74,qp_nc,1350722.8332535895
75,qp_nc,1310148.9778758
76,qp_nc,1313668.2872434335
77,qp_nc,1311626.4153136604
78,qp_nc,1310522.19014223
